node,community
85728,1
59983,2
123087,0
6916,2
80282,1
62128,1
123755,0
87997,1
128709,0
65902,1
113364,1
113267,0
24797,2
79814,1
20408,2
575,1
71256,3
116415,0
89652,1
102363,1
13547,1
118264,0
32563,2
61560,1
127426,1
47151,2
105216,1
24998,2
103680,0
49503,2
93136,1
17792,0
72280,0
11699,2
5908,2
54589,2
123574,1
53824,2
64682,1
83571,1
110958,1
87481,2
125948,1
20690,0
35736,0
8540,0
106352,1
41086,0
110940,0
26252,2
72670,0
53935,3
110560,0
107693,0
61058,0
52578,2
109965,1
110843,1
128349,1
40518,2
112809,0
40451,2
44382,2
91263,1
115328,1
108489,1
46510,0
61452,2
114271,1
125913,1
57507,2
32404,0
64453,0
57591,0
120246,1
10025,2
105336,3
45866,2
11892,2
121802,1
47200,1
20788,1
71867,0
87609,0
7984,1
75509,1
107236,0
38058,2
52209,2
69032,1
63430,0
62307,0
6231,2
109449,1
113421,0
33692,1
21884,0
39773,0
124131,1
85665,1
81281,1
28666,2
121431,1
69629,0
104008,0
65600,1
104344,0
44740,2
65507,0
64406,1
70023,1
99824,4
88526,0
7119,1
88077,2
122360,1
73554,0
75808,1
12364,2
86561,0
51462,0
11749,1
70103,0
107646,1
31061,0
51361,0
87479,0
69791,0
33601,0
71130,2
66443,1
127427,0
116543,0
9187,2
112582,1
130579,3
52521,2
30626,1
131221,0
44682,0
16615,2
23145,0
23028,2
107495,1
29869,1
328,1
35605,0
108912,1
50035,0
57340,2
100811,1
86707,1
6491,1
91102,2
118347,1
63988,4
53745,1
128802,0
14042,1
52120,0
14231,2
43577,2
103608,1
317,1
89455,0
90067,0
120637,0
50033,0
75836,1
68600,1
75408,0
82440,4
71649,0
84641,1
106145,1
5181,2
22124,2
29188,2
51383,0
27300,2
110620,0
2571,2
51023,0
35615,0
95217,1
43425,0
119172,1
79976,3
31992,2
111019,0
6781,1
73617,1
30406,2
68864,1
65142,0
42418,1
74976,0
93336,4
53486,1
73691,0
119247,0
97205,1
81368,0
64224,1
39252,2
123732,1
55616,0
98583,1
83615,1
109483,1
64828,0
83787,1
54272,2
116188,1
54516,1
32892,0
71636,0
44214,3
94578,1
86243,2
63758,0
87950,1
38246,1
99434,0
103486,2
92076,1
15937,2
60575,1
46570,1
45268,1
59162,1
54409,2
96405,0
80828,0
57068,1
71671,0
66048,2
93822,0
61644,0
66072,0
91917,0
100334,1
78128,0
53314,2
963,1
110164,0
13563,2
85079,1
41279,0
550,1
126182,0
128250,0
69602,0
17930,2
13089,1
81245,0
85419,1
93647,0
10120,1
122467,0
68167,1
18469,2
129471,1
118829,1
120365,0
106866,1
34947,2
119280,1
78336,0
94241,1
39972,0
49668,1
3733,2
101594,0
115173,0
56150,1
86748,0
79206,0
72992,2
25661,2
31776,1
128151,0
98487,2
125677,1
114587,3
95674,0
47534,2
29896,0
11265,1
57252,1
68621,1
47256,2
35485,1
84779,0
61812,0
91957,0
27667,2
13867,2
11096,2
7445,1
45634,1
57469,2
124336,0
35991,1
127176,0
23727,2
46712,1
124031,0
77234,0
50319,0
126360,1
49083,2
24455,0
13896,2
87020,0
77573,0
1656,1
20340,0
46726,1
113555,0
111211,1
9994,0
34672,2
16990,1
10628,2
98680,0
90824,0
11597,2
106892,0
19815,0
77946,1
116929,1
120262,0
72300,1
125016,3
7682,1
117453,0
120865,1
118430,0
37286,0
57387,2
11987,0
70481,0
16686,2
126742,0
76663,1
32832,1
89475,1
42895,1
14651,0
105001,2
51049,0
61073,0
2818,1
12246,1
37835,2
25014,1
45164,2
651,1
18926,0
16763,1
111477,0
48041,1
42382,2
45126,1
69964,1
56587,0
78713,1
98645,0
90449,1
66071,2
18905,2
2832,0
40267,1
105358,0
19025,1
19174,1
101473,0
38150,1
83630,1
20445,2
79659,0
64706,1
34652,2
84914,1
90066,0
111135,0
29141,2
121340,0
110007,1
38908,1
59585,0
67019,0
127232,0
62213,0
84687,0
7271,1
77113,1
73546,0
64923,0
62592,0
45548,0
80600,1
127856,1
22863,0
113643,1
48873,2
48292,0
57747,2
54357,0
92842,0
26683,0
59697,1
81534,1
121481,0
34974,0
104846,0
114992,1
102624,0
1043,1
75458,1
73279,1
116899,1
125699,1
47903,0
20127,2
46711,1
43071,3
70094,0
125429,1
